image_path,image_name,ground_truth
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural00.tif,agricultural00,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural01.tif,agricultural01,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural02.tif,agricultural02,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural03.tif,agricultural03,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural04.tif,agricultural04,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural05.tif,agricultural05,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural06.tif,agricultural06,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural07.tif,agricultural07,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural08.tif,agricultural08,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural09.tif,agricultural09,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural10.tif,agricultural10,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural11.tif,agricultural11,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural12.tif,agricultural12,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural13.tif,agricultural13,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural14.tif,agricultural14,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural15.tif,agricultural15,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural16.tif,agricultural16,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural17.tif,agricultural17,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural18.tif,agricultural18,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural19.tif,agricultural19,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural20.tif,agricultural20,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural21.tif,agricultural21,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural22.tif,agricultural22,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural23.tif,agricultural23,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural24.tif,agricultural24,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural25.tif,agricultural25,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural26.tif,agricultural26,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural27.tif,agricultural27,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural28.tif,agricultural28,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural29.tif,agricultural29,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural30.tif,agricultural30,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural31.tif,agricultural31,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural32.tif,agricultural32,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural33.tif,agricultural33,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural34.tif,agricultural34,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural35.tif,agricultural35,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural36.tif,agricultural36,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural37.tif,agricultural37,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural38.tif,agricultural38,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural39.tif,agricultural39,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural40.tif,agricultural40,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural41.tif,agricultural41,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural42.tif,agricultural42,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural43.tif,agricultural43,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural44.tif,agricultural44,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural45.tif,agricultural45,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural46.tif,agricultural46,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural47.tif,agricultural47,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural48.tif,agricultural48,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural49.tif,agricultural49,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural50.tif,agricultural50,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural51.tif,agricultural51,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural52.tif,agricultural52,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural53.tif,agricultural53,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural54.tif,agricultural54,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural55.tif,agricultural55,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural56.tif,agricultural56,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural57.tif,agricultural57,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural58.tif,agricultural58,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural59.tif,agricultural59,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural60.tif,agricultural60,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural61.tif,agricultural61,agricultural
D:\Dataset\UCMerced_LandUse_Dataset\Images\agricultural\agricultural62.tif,agricultural62,agricultural
